feature,importance
cat__destination_airport_SBGO,0.0010854594
cat__origin_airport_SWKO,0.0010790409
cat__destination_airport_SNLN,0.0010732274
cat__destination_airport_SBMI,0.0010461877
cat__origin_airport_SNCP,0.0010380038
cat__destination_airport_LTFM,0.0010305833
cat__destination_airport_SBMO,0.0010277614
cat__origin_airport_SNBR,0.0010274939
cat__airline_AEA,0.0010200917
cat__destination_airport_SBAQ,0.0010124067
cat__destination_airport_SNGN,0.0010080526
cat__destination_airport_SBJU,0.0009856656
cat__origin_airport_SBFI,0.0009787965
cat__destination_airport_SBSI,0.0009744187
cat__origin_airport_SWGN,0.00095972605
cat__destination_airport_EDDM,0.00095750386
cat__destination_airport_SBPB,0.00094707427
cat__origin_airport_SNPD,0.00094619323
cat__destination_airport_KORD,0.00094091217
cat__origin_airport_SBSM,0.00093759375
cat__origin_airport_SSRS,0.0009189412
cat__origin_airport_SBVG,0.00091833377
cat__origin_airport_KFLL,0.0009076647
cat__airline_UAE,0.0009035717
cat__destination_airport_SSSC,0.0008884236
cat__origin_airport_SAME,0.0008865919
cat__origin_airport_SBUA,0.0008864837
cat__destination_airport_SWBR,0.00088121626
cat__destination_airport_KLAX,0.0008738722
cat__destination_airport_SBBG,0.00086579873
cat__origin_airport_SSLT,0.0008631545
bin__is_pre_holiday,0.00086291885
cat__destination_airport_SBPP,0.0008592132
cat__origin_airport_SBAQ,0.00085512473
cat__origin_airport_SBMG,0.00085390353
cat__origin_airport_SNSS,0.0008481044
cat__destination_airport_GOBD,0.00083647476
cat__origin_airport_SBMK,0.00082351296
cat__origin_airport_SBSJ,0.00080338947
cat__origin_airport_SBTT,0.0007992108
cat__origin_airport_SWPI,0.0007964814
cat__destination_airport_FAOR,0.00077910407
cat__origin_airport_KATL,0.0007767092
cat__origin_airport_SDLO,0.0007689364
cat__origin_airport_SBVC,0.00076209835
cat__airline_FBZ,0.0007367605
cat__destination_airport_SWGN,0.00073349994
cat__destination_airport_TJBQ,0.0007304204
cat__destination_airport_SKRG,0.0007098427
cat__origin_airport_SSSC,0.00068259577
cat__destination_airport_SBFL,0.00064658717
cat__origin_airport_SBJP,0.0006090983
cat__airline_JAT,0.0005567055
cat__origin_airport_EHAM,0.00055461796
cat__airline_TPA,0.0005463517
cat__origin_airport_KIAD,0.0005449119
cat__origin_airport_SBFL,0.00043387627
cat__destination_airport_KIAD,0.00042918907
cat__airline_LCO,0.00042502466
cat__origin_airport_GVAC,0.0004117964
cat__airline_GEC,0.00041031704
cat__origin_airport_SBPF,0.0003913396
cat__origin_airport_LPPR,0.00029729036
cat__origin_airport_DGAA,0.0002839045
cat__airline_RER,0.00028019768
cat__destination_airport_SBAU,0.00023871996
cat__origin_airport_SIRI,0.000176974
cat__destination_airport_OMFJ,9.565558e-05
cat__airline_QCL,8.486826e-05
cat__destination_airport_SBSO,7.254351e-05
